Description,Latitude,Longitude,Bin no.
"AA - 1 - Foxrock Park, opposite 28",53.2760561,-6.171494276,1
"AB - 2 - Foxrock Ave, beside lane opposite 59a Goberl",53.27784443,-6.174037551,2
"AC - 3 - Foxrock Ave, outside shops",53.27788824,-6.173128202,3
"AD - 4 - Kill Lane, outside Deansgrange library",53.27779204,-6.164914606,4
"AE - 5 - Kill Lane, across the road from Deansgrange library",53.27816423,-6.164355768,5
"AF - 6 - Clonkeen Road, outside Super Valu",53.27810601,-6.163415,6
"AG - 7 - Clonkeen Road, outside Libero's take away",53.27787704,-6.163281935,7
"AH - 8 - Kill Lane, outside The Wardrobe Man shop",53.27855047,-6.163348984,8
"AI - 9 - Deansgrange Road, at bus stop outside Grange Motors",53.27890258,-6.164051326,9
AJ - 10 - Deansgrange Cemetery,53.28172912,-6.165769427,10
"AJ - 11 - Deansgrange Road, at bus stop opposite The Bungalow",53.28440646,-6.166660782,11
"AL - 12 - Springhill Avenue, park entrance opposite 108",53.28409189,-6.174409271,12
"AM - 13 - St. Fintan's Park, outside Europa chipper",53.28170227,-6.159960209,13
"AN - 14 - Abbey Road, at bus stop beside Casement Villas",53.28147686,-6.158224465,14
"AO - 15 - Kill Lane, at bus stop outside church",53.28086997,-6.157354062,15
"AP - 16 - Kill Lane, at bus stop outside Honey Park",53.28284333,-6.14715,16
"AQ - 17 - Oliver Plunkett Road, outside the post office",53.28363107,-6.147457031,17
"AR - 18 - Monkstown Farm, at bus stop outside Haven's pharmacy",53.28533978,-6.153399319,18
"AS - 19 - Monkstown Avenue, bus stop, Soldiers and Sailor",53.28648683,-6.159855389,19
"AT - 20 - Carrick-Brennan Road, Carrick Hover Center",53.29283848,-6.152193751,20
"AU - 21 - Carrick-Brennan Road, at seat on island",53.29359616,-6.153818387,21
"AV - 22 - Carrick-Brennan Road, Dempsey off Licence",53.29369,-6.15436,22
"AW - 23 - Monkstown Road, at bus stop",53.29383,-6.154338333,23
"AX - 24 - Mounttown Road, at bus stop CBS school",53.28939599,-6.149783596,24
AY - 25 - Cumberland St. - Social Welfare Office,53.29493209,-6.144006351,25
"AZ - 26 - Clarence Street, outside Giddy Goose café",53.29500419,-6.142633848,26
BA - 27 - George's St. Lower - Pig & Heifer Tapas,53.29485795,-6.142349743,27
BB - 28 - George's St. Lower - Hackett's,53.29465667,-6.141528333,28
BC - 29 - George's St. Lower - Old Library,53.29420743,-6.140685884,29
BD - 30 - George's St. Lower - Gunne Estate Agents,53.293615,-6.139361667,30
BE - 31 - George's St. Lower - Dunphy's Pub,53.29343333,-6.138781667,31
BF - 32 - Bloomfields SC - Dunphy's Pub,53.29311868,-6.13897491,32
BG - 33 - Convent Rd. - Paddy Power,53.29244502,-6.13745724,33
BH - 34 - Convent Rd. - JJ Darboven,53.29268766,-6.137155068,34
BI - 35 - George's St. Lower - Cameo's Jewellers,53.29278437,-6.137330549,35
BJ - 36 - George's St. Lower - Eurogiant,53.29308833,-6.138138333,36
BL - 37 - George's St. Lower - Shaw Dept. Store,53.29259667,-6.136678333,37
BL - 38 - George's St. Lower - Irish Cancer Shop,53.29250759,-6.136635847,38
BM - 39 - Sussex St. - Boylan Community Centre,53.29328167,-6.136786667,39
"BN - 40 - Marine Road, at taxi rank",53.2930723,-6.135269116,40
BO - 41 - Marine Rd - Nando's,53.29371518,-6.134684175,41
BP - 42 - Marine Rd. - County Hall Entrance,53.29387333,-6.13449,42
BQ - 43 - Marine Rd. - County Hall - Pedestrian Lights,53.29432817,-6.134023081,43
BR - 44 - Crofton Rd. - County Hall - Top of Ramp,53.29462014,-6.134500739,44
BS - 45 - Crofton Rd. - Bus Stop - Opp. Harbour Sq.,53.29495264,-6.135173984,45
"BT - 46 - Crofton Road, at entrance to DART station",53.29469678,-6.134474946,46
BU - 47 - Queen's Rd. - RNLI Shop,53.29339398,-6.131131983,47
BV - 48 - Queens Rd. - Steps at Maritime Museum & Library,53.2931284,-6.13110082,48
BW - 49 - Queens Rd. - Viewing Platform - Library,53.29329677,-6.131491817,49
BX - 50 - Queens Rd. - Entrance Pavillion Car Park,53.29361501,-6.132234266,50
BY - 51 - Pavillions - Beside Playground,53.293915,-6.132516667,51
BZ - 52 - Pavillions - Insomnia Coffee,53.29436667,-6.133546667,52
CA - 53 - Marine Rd. - Meadow & Byrne,53.29424989,-6.133991924,53
CB - 54 - Marine Rd. - Bus Stop - Ramp to Pavillion Theatre,53.29373498,-6.134489995,54
"CC - 55 - Marine Road, outside Centra",53.29282283,-6.135401769,55
"CD - 56 - Marine Rd. - Church, Opp. DL SC",53.29247997,-6.135896565,56
CE - 57 - Marine Rd. - Ulster Bank,53.29231787,-6.135929262,57
CF - 58 - George's St. Upper - Mahony & Ennis Pharmacy,53.29221,-6.136035,58
"CG - 59 - Patrick St, Facet Jewellers",53.29229631,-6.136343674,59
CH - 60 - George's St Lower - Church,53.29242422,-6.136249582,60
"CI - 61 - George's St. Upper - Soulmate, DL SC",53.29219803,-6.13571395,61
CJ - 62 - Mulgrave St. - Permanent TSB,53.29200222,-6.135583154,62
CK - 63 - George's St. Upper - Golden Discs,53.2919602,-6.135171297,63
CL - 64 - George's St. Upper - Scott's Bar,53.29187004,-6.135187803,64
CM - 65 - George's St. Upper- Dunne's Stores,53.29152506,-6.134372239,65
CN - 66 - George's St. Upper - McDonald's,53.29128589,-6.133860287,66
CO - 67 - Haigh Terrace - Maritime Museum,53.29219833,-6.132366667,67
CP - 68 - George's St. Upper - Apache Pizza,53.29106167,-6.13331,68
CQ - 69 - Corrig Ave. - Court House,53.29001021,-6.133598983,69
CR - 70 - Adelaide St. - St. Nicholas School,53.29201565,-6.130992656,70
CS - 71 - Clarinda Park - Tennis Courts,53.28918333,-6.13213,71
CT - 72 - George's St. Upper - Lafayette 77,53.29036333,-6.13125,72
CU - 73 - George's St. Upper - Bus Stop - DL Pharmacy,53.28989167,-6.130391667,73
